Summary,url,Title,Post_Details,Bike Type,Brand,Trim/Edition,Model,Year,Mileage,Seller,Capacity,Price
"Bajaj Platina 100 200850,000 kmPolonnaruwa, MotorbikesRs 145,00048 days",https://ikman.lk/en/ad/bajaj-platina-100-2008-for-sale-polonnaruwa-4,Bajaj Platina 100 2008,"Posted on 25 Jan 12:39 pm, Polonnaruwa City, Polonnaruwa",Motorbikes,Bajaj,100,Platina,2008,"50,000 km",Hashan Amith,100 cc,"145,000"
"Bajaj Platina 100 200850,000 kmRatnapura, MotorbikesRs 130,00038 days",https://ikman.lk/en/ad/bajaj-platina-100-2008-for-sale-ratnapura-11,Bajaj Platina 100 2008,"Posted on 04 Feb 8:08 am, Embilipitiya, Ratnapura",Motorbikes,Bajaj,100,Platina,2008,"50,000 km",Senaka Sampath,100 cc,"130,000"
"Bajaj Platina 100 200968,000 kmMEMBERMonaragala, MotorbikesRs 175,00049 days",https://ikman.lk/en/ad/bajaj-platina-100-2009-for-sale-monaragala,Bajaj Platina 100 2009,"Posted on 23 Jan 2:35 pm, Wellawaya, Monaragala",Motorbikes,Bajaj,100,Platina,2009,"68,000 km",Unique Choice Motorbikes,100 cc,"175,000"
"Bajaj Platina 100 201168,000 kmMonaragala, MotorbikesRs 145,00035 days",https://ikman.lk/en/ad/bajaj-platina-100-2011-for-sale-monaragala-2,Bajaj Platina 100 2011,"Posted on 09 Feb 8:06 am, Buttala, Monaragala",Motorbikes,Bajaj,100,Platina,2011,"68,000 km",SP.Lakmal,100 cc,"145,000"
"Bajaj Platina 100 201245,000 kmRatnapura, MotorbikesRs 180,00037 days",https://ikman.lk/en/ad/bajaj-platina-100-2012-for-sale-ratnapura-8,Bajaj Platina 100 2012,"Posted on 05 Feb 10:43 am, Ratnapura City, Ratnapura",Motorbikes,Bajaj,platina 100,Platina,2012,"45,000 km",Lahiru Rangana,100 cc,"180,000"
"Bajaj Platina 100 201427,000 kmKalutara, MotorbikesRs 190,00056 days",https://ikman.lk/en/ad/bajaj-platina-100-2014-for-sale-kalutara-87,Bajaj Platina 100 2014,"Posted on 28 Jan 11:18 am, Beruwala, Kalutara",Motorbikes,Bajaj,100,Platina,2014,"27,000 km",Sell fast | Digital Communication,100 cc,"190,000"
"Bajaj Platina 100 201432,300 kmMEMBERMonaragala, MotorbikesRs 268,00032 days",https://ikman.lk/en/ad/bajaj-platina-100-2014-for-sale-monaragala-1,Bajaj Platina 100 2014,"Posted on 10 Mar 1:48 pm, Wellawaya, Monaragala",Motorbikes,Bajaj,100,Platina,2014,"32,300 km",Unique Choice Motorbikes,100 cc,"268,000"
"Bajaj Platina 100 201470,000 kmKurunegala, MotorbikesRs 240,00037 days",https://ikman.lk/en/ad/bajaj-platina-100-2014-for-sale-kurunegala-6,Bajaj Platina 100 2014,"Posted on 04 Feb 4:39 pm, Kurunegala City, Kurunegala",Motorbikes,Bajaj,100,Platina,2014,"70,000 km",vitharana,100 cc,"240,000"
"Bajaj Platina 100 201495,124 kmHambantota, MotorbikesRs 240,00025 days",https://ikman.lk/en/ad/bajaj-platina-100-2014-for-sale-hambantota-28,Bajaj Platina 100 2014,"Posted on 17 Feb 10:46 am, Tissamaharama, Hambantota",Motorbikes,Bajaj,platina 100,Platina,2014,"95,124 km",W.W.I.saranga,100 cc,"240,000"
"Bajaj Platina 100 201597,000 kmGampaha, MotorbikesRs 230,000",https://ikman.lk/en/ad/bajaj-platina-100-2015-for-sale-gampaha-81,Bajaj Platina 100 2015,"Posted on 12 Mar 9:14 am, Kandana, Gampaha",Motorbikes,Bajaj,Platina 100,Platina,2015,"97,000 km",Dhilina Perera,100 cc,"230,000"
"Bajaj Platina 100 201636,298 kmMEMBERKandy, MotorbikesRs 280,00044 days",https://ikman.lk/en/ad/bajaj-platina-100-2016-for-sale-kandy,Bajaj Platina 100 2016,"Posted on 03 Mar 6:34 pm, Kandy City, Kandy",Motorbikes,Bajaj,platina 100,Platina,2016,"36,298 km",N-S Motors,100 cc,"280,000"
"Bajaj Platina 100 201636,000 kmMatara, MotorbikesRs 335,00054 days",https://ikman.lk/en/ad/bajaj-platina-100-2016-for-sale-matara,Bajaj Platina 100 2016,"Posted on 19 Jan 6:45 am, Kamburupitiya, Matara",Motorbikes,Bajaj,100,Platina,2016,"36,000 km",Nuwan Eranga Ssc,100 cc,"335,000"
"Bajaj Platina 100 201631,900 kmAnuradhapura, MotorbikesRs 285,00040 days",https://ikman.lk/en/ad/bajaj-platina-100-2016-for-sale-anuradhapura-3,Bajaj Platina 100 2016,"Posted on 22 Feb 7:49 pm, Anuradhapura City, Anuradhapura",Motorbikes,Bajaj,platina 100,Platina,2016,"31,900 km",owner,100 cc,"285,000"
"Bajaj Platina 100 201629,134 kmMEMBERBadulla, MotorbikesRs 310,00031 days",https://ikman.lk/en/ad/bajaj-platina-100-2016-for-sale-badulla,Bajaj Platina 100 2016,"Posted on 23 Feb 3:31 pm, Mahiyanganaya, Badulla",Motorbikes,Bajaj,Platina 100,Platina,2016,"29,134 km",PLS Motors & Credit (Pvt) Ltd,100 cc,"310,000"
"Bajaj Platina 100 201637,000 kmKandy, MotorbikesRs 295,00031 days",https://ikman.lk/en/ad/bajaj-platina-100-2016-for-sale-kandy-1,Bajaj Platina 100 2016,"Posted on 12 Feb 3:10 pm, Gampola, Kandy",Motorbikes,Bajaj,100,Platina,2016,"37,000 km",udaya,100 cc,"295,000"
"Bajaj Platina 100 201721,238 kmMEMBERBadulla, MotorbikesRs 350,00031 days",https://ikman.lk/en/ad/bajaj-platina-100-2017-for-sale-badulla,Bajaj Platina 100 2017,"Posted on 23 Feb 3:31 pm, Mahiyanganaya, Badulla",Motorbikes,Bajaj,Platina 100,Platina,2017,"21,238 km",PLS Motors & Credit (Pvt) Ltd,100 cc,"350,000"
"Bajaj Platina 100 201823,000 kmAmpara, MotorbikesRs 295,00023 days",https://ikman.lk/en/ad/bajaj-platina-100-2018-for-sale-ampara,Bajaj Platina 100 2018,"Posted on 19 Feb 4:09 am, Sainthamaruthu, Ampara",Motorbikes,Bajaj,platina 100,Platina,2018,"23,000 km",AAQIL,100 cc,"295,000"
"Bajaj Platina 100 twin 201911,500 kmHambantota, MotorbikesRs 400,00044 days",https://ikman.lk/en/ad/bajaj-platina-100-twin-2019-for-sale-hambantota,Bajaj Platina 100 twin 2019,"Posted on 29 Jan 9:32 am, Tangalla, Hambantota",Motorbikes,Bajaj,platina 100 twin,Platina,2019,"11,500 km",keerthi,102 cc,"400,000"
"Bajaj Platina 100cc 201076,339 kmKurunegala, MotorbikesRs 155,00026 days",https://ikman.lk/en/ad/bajaj-platina-100cc-2010-for-sale-kurunegala,Bajaj Platina 100cc 2010,"Posted on 16 Feb 4:18 pm, Kurunegala City, Kurunegala",Motorbikes,Bajaj,100cc,Platina,2010,"76,339 km",Chathuranga Sisiruwan,100 cc,"155,000"
"Bajaj Platina 100cc 201435,000 kmPolonnaruwa, MotorbikesRs 100,00023 days",https://ikman.lk/en/ad/bajaj-platina-100cc-2014-for-sale-polonnaruwa,Bajaj Platina 100cc 2014,"Posted on 19 Feb 9:28 am, Hingurakgoda, Polonnaruwa",Motorbikes,Bajaj,100cc,Platina,2014,"35,000 km",dinusha,100 cc,"100,000"
"Bajaj Platina 100cc 201820,000 kmColombo, MotorbikesRs 270,00032 days",https://ikman.lk/en/ad/bajaj-platina-100cc-2018-for-sale-colombo,Bajaj Platina 100cc 2018,"Posted on 10 Feb 5:57 pm, Padukka, Colombo",Motorbikes,Bajaj,Bajaj Platina 100cc,Platina,2018,"20,000 km",Sell Fast | Meegoda | Samanala Creation,100 cc,"270,000"
"Bajaj Platina 100Es 201722,500 kmGalle, MotorbikesRs 285,00034 days",https://ikman.lk/en/ad/bajaj-platina-pletina-100es-2017-for-sale-galle,Bajaj Platina 100Es 2017,"Posted on 09 Feb 12:05 pm, Elpitiya, Galle",Motorbikes,Bajaj,100Es,Platina,2017,"22,500 km",Bimal Malwaththa,100 cc,"285,000"
"Bajaj Platina 100es 201767,000 kmAnuradhapura, MotorbikesRs 325,00047 days",https://ikman.lk/en/ad/bajaj-platina-100es-2017-for-sale-anuradhapura-5,Bajaj Platina 100es 2017,"Posted on 26 Jan 8:41 am, Tambuttegama, Anuradhapura",Motorbikes,Bajaj,100es,Platina,2017,"67,000 km",dhanushka,100 cc,"325,000"
"Bajaj Platina 125 20095,555 kmGampaha, MotorbikesRs 190,00047 days",https://ikman.lk/en/ad/bajaj-platina-125-2009-for-sale-gampaha-110,Bajaj Platina 125 2009,"Posted on 26 Jan 8:47 am, Gampaha City, Gampaha",Motorbikes,Bajaj,125,Platina,2009,"5,555 km",Shehan Madhumal Marasinhe,125 cc,"190,000"
"Bajaj Platina 125 201035,629 kmMEMBERKandy, MotorbikesRs 135,00044 days",https://ikman.lk/en/ad/bajaj-platina-125-2010-for-sale-kandy-63,Bajaj Platina 125 2010,"Posted on 03 Mar 6:34 pm, Kandy City, Kandy",Motorbikes,Bajaj,platina 125,Platina,2010,"35,629 km",N-S Motors,125 cc,"135,000"
"Bajaj Platina 125 20103,000 kmGampaha, MotorbikesRs 175,00028 days",https://ikman.lk/en/ad/bajaj-platina-125-2010-for-sale-gampaha-293,Bajaj Platina 125 2010,"Posted on 14 Feb 6:28 pm, Kelaniya, Gampaha",Motorbikes,Bajaj,125,Platina,2010,"3,000 km",ramya,125 cc,"175,000"
"Bajaj Platina 125 201133,000 kmMatale, MotorbikesRs 250,00054 days",https://ikman.lk/en/ad/bajaj-platina-125-2011-for-sale-matale-1,Bajaj Platina 125 2011,"Posted on 18 Jan 6:07 pm, Pallepola, Matale",Motorbikes,Bajaj,125,Platina,2011,"33,000 km",Chandima Kasthuri,125 cc,"250,000"
"Bajaj Platina 125 201153,281 kmKandy, MotorbikesRs 148,00034 days",https://ikman.lk/en/ad/bajaj-platina-125-2011-for-sale-kandy-17,Bajaj Platina 125 2011,"Posted on 08 Feb 2:57 pm, Gampola, Kandy",Motorbikes,Bajaj,platina 125,Platina,2011,"53,281 km",Ilshan Udara,125 cc,"148,000"
"Bajaj Platina 125 201145,000 kmColombo, MotorbikesRs 172,00052 days",https://ikman.lk/en/ad/bajaj-platina-125-2011-for-sale-colombo-480,Bajaj Platina 125 2011,"Posted on 24 Jan 1:55 pm, Wellampitiya, Colombo",Motorbikes,Bajaj,Platina 125,Platina,2011,"45,000 km",rasanga,125 cc,"172,000"
"Bajaj Platina 125 201170,000 kmGalle, MotorbikesRs 148,00050 days",https://ikman.lk/en/ad/bajaj-platina-125-2011-for-sale-galle-84,Bajaj Platina 125 2011,"Posted on 23 Jan 11:18 am, Galle City, Galle",Motorbikes,Bajaj,bajaj 125,Platina,2011,"70,000 km",Ruwan Kumara,125 cc,"148,000"
"Bajaj Platina 125 201162,000 kmMEMBERColombo, MotorbikesRs 70,00038 days",https://ikman.lk/en/ad/bajaj-platina-125-2011-for-sale-colombo-482,Bajaj Platina 125 2011,"Posted on 08 Mar 3:52 pm, Meegoda, Colombo",Motorbikes,Bajaj,platina 125,Platina,2011,"62,000 km",SHAN ENTERPRISES,125 cc,"70,000"
"Bajaj Platina 125 201545,000 kmHambantota, MotorbikesRs 225,00031 days",https://ikman.lk/en/ad/bajaj-platina-125-2015-for-sale-hambantota,Bajaj Platina 125 2015,"Posted on 08 Mar 9:31 am, Beliatta, Hambantota",Motorbikes,Bajaj,125,Platina,2015,"45,000 km",Sell Fast | Beliatta |IPK Computer,125 cc,"225,000"
"Bajaj Platina 200638,000 kmKurunegala, MotorbikesRs 95,00050 days",https://ikman.lk/en/ad/bajaj-platina-2006-for-sale-kurunegala-77,Bajaj Platina 2006,"Posted on 24 Jan 12:45 pm, Kurunegala City, Kurunegala",Motorbikes,Bajaj,,Platina,2006,"38,000 km",Sell Fast | Sampath Advertising,100 cc,"95,000"
"Bajaj Platina 200755,000 kmKandy, MotorbikesRs 148,00054 days",https://ikman.lk/en/ad/bajaj-platina-1st-owner-2007-for-sale-kandy,Bajaj Platina 2007,"Posted on 19 Jan 8:29 am, Kandy City, Kandy",Motorbikes,Bajaj,Bajaj,Platina,2007,"55,000 km",Sadun 0770737866,100 cc,"148,000"
"Bajaj Platina 200765,000 kmPolonnaruwa, MotorbikesRs 125,00023 days",https://ikman.lk/en/ad/bajaj-platina-2007-for-sale-polonnaruwa-23,Bajaj Platina 2007,"Posted on 19 Feb 10:49 am, Hingurakgoda, Polonnaruwa",Motorbikes,Bajaj,,Platina,2007,"65,000 km",SANJU D.,100 cc,"125,000"
"Bajaj Platina 200760,000 kmColombo, MotorbikesRs 145,00058 days",https://ikman.lk/en/ad/bajaj-platina-2007-for-sale-colombo-1248,Bajaj Platina 2007,"Posted on 14 Jan 11:33 am, Kottawa, Colombo",Motorbikes,Bajaj,,Platina,2007,"60,000 km",Sellfast | Boralesgamuwa | Anudi-BR,100 cc,"145,000"
"Bajaj Platina 200796,000 kmKurunegala, MotorbikesRs 140,00037 days",https://ikman.lk/en/ad/bajaj-platina-2007-for-sale-kurunegala-277,Bajaj Platina 2007,"Posted on 04 Feb 11:33 pm, Wariyapola, Kurunegala",Motorbikes,Bajaj,,Platina,2007,"96,000 km",Suresh,100 cc,"140,000"
"Bajaj Platina 200847,000 kmMonaragala, MotorbikesRs 145,00039 days",https://ikman.lk/en/ad/bajaj-platina-2008-for-sale-monaragala-10,Bajaj Platina 2008,"Posted on 03 Feb 10:28 am, Buttala, Monaragala",Motorbikes,Bajaj,bajaj,Platina,2008,"47,000 km",K M Pubudu Lakshitha,100 cc,"145,000"
"Bajaj Platina 200875,000 kmGalle, MotorbikesRs 90,00045 days",https://ikman.lk/en/ad/bajaj-platina-2008-for-sale-galle-170,Bajaj Platina 2008,"Posted on 27 Jan 5:13 pm, Galle City, Galle",Motorbikes,Bajaj,,Platina,2008,"75,000 km",kasun,100 cc,"90,000"
"Bajaj Platina 200853,000 kmColombo, MotorbikesRs 150,00040 days",https://ikman.lk/en/ad/bajaj-platina-uq9052-2008-for-sale-colombo,Bajaj Platina 2008,"Posted on 02 Feb 9:00 am, Nugegoda, Colombo",Motorbikes,Bajaj,Bajaj,Platina,2008,"53,000 km",Kgs Chinthaka,100 cc,"150,000"
"Bajaj Platina 200865,000 kmGampaha, MotorbikesRs 143,00033 days",https://ikman.lk/en/ad/bajaj-platina-2008-for-sale-gampaha-896,Bajaj Platina 2008,"Posted on 02 Mar 12:22 pm, Minuwangoda, Gampaha",Motorbikes,Bajaj,Bajaj,Platina,2008,"65,000 km",Nalin Sampath,100 cc,"143,000"
"Bajaj Platina 200856,980 kmMEMBERKandy, MotorbikesRs 135,00058 days",https://ikman.lk/en/ad/bajaj-platina-2008-for-sale-kandy-234,Bajaj Platina 2008,"Posted on 08 Mar 12:30 pm, Kandy City, Kandy",Motorbikes,Bajaj,,Platina,2008,"56,980 km",Polgolla Bike,125 cc,"135,000"
"Bajaj Platina 200842,000 kmKurunegala, MotorbikesRs 88,00038 days",https://ikman.lk/en/ad/bajaj-platina-2008-for-sale-kurunegala-192,Bajaj Platina 2008,"Posted on 03 Feb 4:33 pm, Kurunegala City, Kurunegala",Motorbikes,Bajaj,,Platina,2008,"42,000 km",Sell Fast | Sampath Advertising,125 cc,"88,000"
"Bajaj Platina 200965,000 kmKalutara, MotorbikesRs 132,00038 days",https://ikman.lk/en/ad/bajaj-platina-2009-for-sale-kalutara-381,Bajaj Platina 2009,"Posted on 03 Feb 11:06 pm, Kalutara City, Kalutara",Motorbikes,Bajaj,,Platina,2009,"65,000 km",Deneth Ashan,100 cc,"132,000"
"Bajaj Platina 200948,000 kmPuttalam, MotorbikesRs 160,00028 days",https://ikman.lk/en/ad/bajaj-platina-2009-for-sale-puttalam-85,Bajaj Platina 2009,"Posted on 15 Feb 11:35 am, Puttalam City, Puttalam",Motorbikes,Bajaj,Bajaj,Platina,2009,"48,000 km",mahasin,100 cc,"160,000"
"Bajaj Platina 200965,000 kmMEMBERColombo, MotorbikesRs 75,00039 days",https://ikman.lk/en/ad/bajaj-platina-2009-for-sale-colombo-887,Bajaj Platina 2009,"Posted on 08 Mar 3:52 pm, Homagama, Colombo",Motorbikes,Bajaj,,Platina,2009,"65,000 km",SHAN ENTERPRISES,100 cc,"75,000"
"Bajaj Platina 20097,877 kmPolonnaruwa, MotorbikesRs 160,00036 days",https://ikman.lk/en/ad/bajaj-platina-2009-for-sale-polonnaruwa-2,Bajaj Platina 2009,"Posted on 06 Feb 4:42 pm, Hingurakgoda, Polonnaruwa",Motorbikes,Bajaj,2009,Platina,2009,"7,877 km",Tharaka Prasad,100 cc,"160,000"
"Bajaj Platina 200946,300 kmMEMBERKalutara, MotorbikesRs 128,00043 days",https://ikman.lk/en/ad/bajaj-platina-2009-for-sale-kalutara-379,Bajaj Platina 2009,"Posted on 09 Feb 8:02 pm, Bandaragama, Kalutara",Motorbikes,Bajaj,bajaj,Platina,2009,"46,300 km",Welegedara Motors,100 cc,"128,000"
"Bajaj Platina 200953,600 kmMEMBERKalutara, MotorbikesRs 120,00053 days",https://ikman.lk/en/ad/bajaj-platina-2009-for-sale-kalutara-377,Bajaj Platina 2009,"Posted on 09 Feb 8:02 pm, Bandaragama, Kalutara",Motorbikes,Bajaj,bajaj,Platina,2009,"53,600 km",Welegedara Motors,100 cc,"120,000"
"Bajaj Platina 201060,000 kmKandy, MotorbikesRs 170,00026 days",https://ikman.lk/en/ad/bajaj-platina-2010-for-sale-kandy-237,Bajaj Platina 2010,"Posted on 15 Feb 11:52 pm, Kandy City, Kandy",Motorbikes,Bajaj,Bajaj,Platina,2010,"60,000 km",Asanka bandara,100 cc,"170,000"
"Bajaj Platina 201055,000 kmRatnapura, MotorbikesRs 150,00054 days",https://ikman.lk/en/ad/bajaj-platina-2010-for-sale-ratnapura-175,Bajaj Platina 2010,"Posted on 18 Jan 3:52 pm, Ratnapura City, Ratnapura",Motorbikes,Bajaj,,Platina,2010,"55,000 km",Chathu Hirunika,125 cc,"150,000"
"Bajaj Platina 201154,000 kmMEMBERAmpara, MotorbikesRs 175,00042 days",https://ikman.lk/en/ad/bajaj-platina-2011-for-sale-ampara-7,Bajaj Platina 2011,"Posted on 30 Jan 6:29 pm, Ampara City, Ampara",Motorbikes,Bajaj,,Platina,2011,"54,000 km",AAA Auto Mart,100 cc,"175,000"
"Bajaj Platina 201151,000 kmGampaha, MotorbikesRs 140,00057 days",https://ikman.lk/en/ad/bajaj-platina-2011-for-sale-gampaha-861,Bajaj Platina 2011,"Posted on 16 Jan 9:12 am, Delgoda, Gampaha",Motorbikes,Bajaj,Bajaj Platina,Platina,2011,"51,000 km",Colour 1,100 cc,"140,000"
"Bajaj Platina 201150,000 kmMatara, MotorbikesRs 250,00049 days",https://ikman.lk/en/ad/bajaj-platina-2011-for-sale-matara-227,Bajaj Platina 2011,"Posted on 24 Jan 8:21 am, Weligama, Matara",Motorbikes,Bajaj,,Platina,2011,"50,000 km",Dhanushka Madushan,100 cc,"250,000"
"Bajaj Platina 201145,675 kmKurunegala, MotorbikesRs 168,00028 days",https://ikman.lk/en/ad/bajaj-platina-2011-for-sale-kurunegala-137,Bajaj Platina 2011,"Posted on 14 Feb 11:32 am, Pannala, Kurunegala",Motorbikes,Bajaj,Platina,Platina,2011,"45,675 km",Hasitha Prabath,100 cc,"168,000"
"Bajaj Platina 201136,598 kmMEMBERKandy, MotorbikesRs 148,00034 days",https://ikman.lk/en/ad/bajaj-platina-2011-for-sale-kandy-208,Bajaj Platina 2011,"Posted on 03 Mar 6:34 pm, Kandy City, Kandy",Motorbikes,Bajaj,2011,Platina,2011,"36,598 km",N-S Motors,100 cc,"148,000"
"Bajaj Platina 201143,000 kmKurunegala, MotorbikesRs 147,00033 days",https://ikman.lk/en/ad/bajaj-platina-2011-for-sale-kurunegala-136,Bajaj Platina 2011,"Posted on 08 Feb 6:28 pm, Kurunegala City, Kurunegala",Motorbikes,Bajaj,2011,Platina,2011,"43,000 km",Uditha Madushan,100 cc,"147,000"
"Bajaj Platina 201165,000 kmKandy, MotorbikesRs 150,00045 days",https://ikman.lk/en/ad/bajaj-platina-125-cc-2011-for-sale-kandy,Bajaj Platina 2011,"Posted on 28 Jan 10:50 am, Nawalapitiya, Kandy",Motorbikes,Bajaj,Platina,Platina,2011,"65,000 km",asanka,125 cc,"150,000"
"Bajaj Platina 201185,000 kmAmpara, MotorbikesRs 150,00032 days",https://ikman.lk/en/ad/bajaj-platina-2011-for-sale-ampara-8,Bajaj Platina 2011,"Posted on 27 Feb 9:41 am, Ampara City, Ampara",Motorbikes,Bajaj,Bajaj,Platina,2011,"85,000 km",Ishara Sadaranga,125 cc,"150,000"
"Bajaj Platina 201189,000 kmKandy, MotorbikesRs 190,00044 days",https://ikman.lk/en/ad/bajaj-platina-2011-for-sale-kandy-207,Bajaj Platina 2011,"Posted on 29 Jan 10:15 am, Katugastota, Kandy",Motorbikes,Bajaj,,Platina,2011,"89,000 km",Mohamed Rizan,125 cc,"190,000"
"Bajaj Platina 201132,065 kmMatale, MotorbikesRs 185,00043 days",https://ikman.lk/en/ad/bajaj-platina-2011-for-sale-matale-23,Bajaj Platina 2011,"Posted on 30 Jan 10:40 am, Galewela, Matale",Motorbikes,Bajaj,,Platina,2011,"32,065 km",Golden Pen,175 cc,"185,000"
"Bajaj Platina 201242,000 kmGampaha, MotorbikesRs 160,00048 days",https://ikman.lk/en/ad/bajaj-platina-2012-for-sale-gampaha-864,Bajaj Platina 2012,"Posted on 25 Jan 1:33 am, Nittambuwa, Gampaha",Motorbikes,Bajaj,,Platina,2012,"42,000 km",isurukalinga.ik@gmail.com,100 cc,"160,000"
"Bajaj Platina 2012783,963 kmColombo, MotorbikesRs 160,00033 days",https://ikman.lk/en/ad/bajaj-platina-2012-for-sale-colombo-1046,Bajaj Platina 2012,"Posted on 09 Feb 11:50 am, Dehiwala, Colombo",Motorbikes,Bajaj,2012,Platina,2012,"783,963 km",Rush Silva,100 cc,"160,000"
"Bajaj Platina 201236,900 kmMEMBERKalutara, MotorbikesRs 145,00031 days",https://ikman.lk/en/ad/bajaj-platina-2012-for-sale-kalutara-430,Bajaj Platina 2012,"Posted on 10 Feb 9:37 pm, Bandaragama, Kalutara",Motorbikes,Bajaj,Bajaj,Platina,2012,"36,900 km",Welegedara Motors,100 cc,"145,000"
"Bajaj Platina 201263,800 kmMEMBERKalutara, MotorbikesRs 130,00050 days",https://ikman.lk/en/ad/bajaj-platina-2012-for-sale-kalutara-428,Bajaj Platina 2012,"Posted on 09 Feb 8:02 pm, Bandaragama, Kalutara",Motorbikes,Bajaj,bajaj,Platina,2012,"63,800 km",Welegedara Motors,100 cc,"130,000"
"Bajaj Platina 201255,400 kmGampaha, MotorbikesRs 215,00037 days",https://ikman.lk/en/ad/bajaj-platina-2012-for-sale-gampaha-867,Bajaj Platina 2012,"Posted on 05 Feb 12:55 pm, Ganemulla, Gampaha",Motorbikes,Bajaj,,Platina,2012,"55,400 km",Buddika Hettiarachchige Don,125 cc,"215,000"
"Bajaj Platina 201245,000 kmGampaha, MotorbikesRs 160,00029 days",https://ikman.lk/en/ad/bajaj-platina-2012-for-sale-gampaha-869,Bajaj Platina 2012,"Posted on 13 Feb 4:15 pm, Ja-Ela, Gampaha",Motorbikes,Bajaj,Bajaj,Platina,2012,"45,000 km",home,125 cc,"160,000"
"Bajaj Platina 201257,500 kmGampaha, MotorbikesRs 165,00038 days",https://ikman.lk/en/ad/bajaj-platina-platina125-2012-for-sale-gampaha,Bajaj Platina 2012,"Posted on 09 Feb 10:34 am, Kiribathgoda, Gampaha",Motorbikes,Bajaj,Platina,Platina,2012,"57,500 km",Isuru Eranda,125 cc,"165,000"
"Bajaj Platina 201236,000 kmGalle, MotorbikesRs 167,00040 days",https://ikman.lk/en/ad/bajaj-platina-2012-for-sale-galle-223,Bajaj Platina 2012,"Posted on 09 Feb 11:12 am, Galle City, Galle",Motorbikes,Bajaj,Bajaj,Platina,2012,"36,000 km",Sellfast | Junction Mobiles & technology,125 cc,"167,000"
"Bajaj Platina 201335,000 kmMatara, MotorbikesRs 265,00047 days",https://ikman.lk/en/ad/bajaj-platina-2013-for-sale-matara-138,Bajaj Platina 2013,"Posted on 25 Jan 1:08 pm, Akuressa, Matara",Motorbikes,Bajaj,,Platina,2013,"35,000 km",Dilshan Gayantha,100 cc,"265,000"
"Bajaj Platina 201347,000 kmGalle, MotorbikesRs 235,00026 days",https://ikman.lk/en/ad/bajaj-platina-2013-for-sale-galle-159,Bajaj Platina 2013,"Posted on 16 Feb 11:05 am, Baddegama, Galle",Motorbikes,Bajaj,,Platina,2013,"47,000 km",dulaka,100 cc,"235,000"
"Bajaj Platina 201375,000 kmRatnapura, MotorbikesRs 210,00054 days",https://ikman.lk/en/ad/bajaj-platina-100-2013-for-sale-ratnapura-4,Bajaj Platina 2013,"Posted on 19 Feb 2:33 am, Eheliyagoda, Ratnapura",Motorbikes,Bajaj,2013,Platina,2013,"75,000 km",Gayath Hansara,100 cc,"210,000"
"Bajaj Platina 201365,000 kmGalle, MotorbikesRs 210,00035 days",https://ikman.lk/en/ad/bajaj-platina-2013-for-sale-galle-158,Bajaj Platina 2013,"Posted on 07 Feb 1:19 pm, Ahangama, Galle",Motorbikes,Bajaj,platina,Platina,2013,"65,000 km",Liyanage Chathuranga,100 cc,"210,000"
"Bajaj Platina 201344,000 kmColombo, MotorbikesRs 220,00051 days",https://ikman.lk/en/ad/bajaj-platina-2013-for-sale-colombo-746,Bajaj Platina 2013,"Posted on 22 Jan 11:35 am, Dehiwala, Colombo",Motorbikes,Bajaj,,Platina,2013,"44,000 km",madhusanka degala durage,100 cc,"220,000"
"Bajaj Platina 201365,000 kmGalle, MotorbikesRs 220,00039 days",https://ikman.lk/en/ad/bajaj-platina-2013-for-sale-galle-156,Bajaj Platina 2013,"Posted on 02 Feb 8:27 pm, Galle City, Galle",Motorbikes,Bajaj,,Platina,2013,"65,000 km",Nuwanidu Prasad,100 cc,"220,000"
"Bajaj Platina 201349,000 kmGampaha, MotorbikesRs 205,00037 days",https://ikman.lk/en/ad/bajaj-platina-2014-2013-for-sale-gampaha,Bajaj Platina 2013,"Posted on 13 Feb 9:54 am, Delgoda, Gampaha",Motorbikes,Bajaj,2013,Platina,2013,"49,000 km",P.R.Perera,100 cc,"205,000"
"Bajaj Platina 201435,000 kmMatara, MotorbikesRs 260,00047 days",https://ikman.lk/en/ad/bajaj-platina-2014-for-sale-matara-225,Bajaj Platina 2014,"Posted on 25 Jan 1:00 pm, Akuressa, Matara",Motorbikes,Bajaj,,Platina,2014,"35,000 km",Gayantha Dilshan,100 cc,"260,000"
"Bajaj Platina 201448,000 kmAmpara, MotorbikesRs 100,00029 days",https://ikman.lk/en/ad/bajaj-platina-2014-for-sale-ampara-10,Bajaj Platina 2014,"Posted on 02 Mar 3:26 pm, Ampara City, Ampara",Motorbikes,Bajaj,,Platina,2014,"48,000 km",nalin senavirathna,100 cc,"100,000"
"Bajaj Platina 201412,445 kmMEMBERBadulla, MotorbikesRs 250,00032 days",https://ikman.lk/en/ad/bajaj-platina-2014-for-sale-badulla-7,Bajaj Platina 2014,"Posted on 23 Feb 3:31 pm, Mahiyanganaya, Badulla",Motorbikes,Bajaj,Bajaj,Platina,2014,"12,445 km",PLS Motors & Credit (Pvt) Ltd,100 cc,"250,000"
"Bajaj Platina 201429,403 kmMEMBERPolonnaruwa, MotorbikesRs 235,00036 days",https://ikman.lk/en/ad/bajaj-platina-2014-for-sale-polonnaruwa-20,Bajaj Platina 2014,"Posted on 23 Feb 3:31 pm, Polonnaruwa City, Polonnaruwa",Motorbikes,Bajaj,Platina,Platina,2014,"29,403 km",PLS Motors & Credit (Pvt) Ltd,100 cc,"235,000"
